degree clustering_coefficient ego_net_edges
0.0 0.14 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.14 0.14 0.14
0.0 0.0 0.0
0.0 0.14 0.0
0.14 0.29 0.14
0.14 0.0 0.14
0.0 0.0 0.0
0.0 0.29 0.0
0.0 0.0 0.0
0.14 0.0 0.14
0.14 0.14 0.14
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.0 0.0
0.14 0.14 0.14
0.0 0.29 0.0
0.0 0.0 0.0
0.14 0.14 0.14
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.14 0.29 0.14
0.0 0.43 0.0
0.0 0.57 0.0
0.14 0.0 0.14
0.0 0.0 0.0
0.14 0.0 0.14
0.29 0.0 0.29
0.29 0.0 0.29
0.43 0.14 0.43
0.14 0.29 0.14
0.29 0.0 0.29
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.0 0.0
0.14 0.14 0.14
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.14 0.0 0.14
0.14 0.14 0.14
0.14 0.0 0.14
0.0 0.14 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.14 0.0 0.14
0.0 0.14 0.0
0.14 0.29 0.14
0.29 0.43 0.29
0.0 0.03 -0.0
-0.0 0.01 -0.0
-0.01 0.08 -0.0
-0.01 0.05 -0.01
0.05 0.05 0.01
0.02 -0.25 -0.03
0.0 -0.04 0.03
-0.0 -0.0 -0.0
-0.0 0.14 -0.0
0.0 -0.0 0.0
0.0 -0.0 0.0
0.0 0.0 0.0
0.0 -0.0 0.0
0.14 0.14 0.14
0.0 0.0 0.0
0.0 0.14 0.0
-0.0 0.0 -0.0
0.01 0.0 0.0
0.0 0.0 -0.02
-0.02 0.0 0.01
-0.0 0.14 0.01
0.02 0.0 -0.03
0.01 0.14 -0.03
-0.02 0.0 -0.0
-0.02 0.14 -0.01
0.01 0.0 -0.0
-0.04 0.0 0.01
-0.01 0.14 0.02
0.03 0.0 -0.02
0.01 0.0 -0.01
-0.04 0.0 0.04
-0.01 0.0 -0.02
0.02 0.29 0.05
0.05 0.0 0.01
0.02 0.14 0.04
0.02 0.29 0.03
-0.03 0.14 0.04
0.02 0.14 0.02
-0.02 0.0 -0.02
-0.0 0.0 -0.0
0.14 0.0 0.14
-0.01 0.0 -0.02
-0.01 0.14 -0.02
-0.02 0.29 0.01
-0.0 0.0 -0.0
0.0 -0.09 -0.02
0.0 -0.03 0.0
-0.02 0.05 0.01
-0.02 0.11 0.01
-0.01 -0.16 0.01
0.02 -0.1 -0.02
0.02 -0.01 0.0
-0.02 0.0 -0.01
-0.0 0.14 -0.0
0.03 0.0 0.01
-0.02 0.0 -0.0
0.01 0.14 0.02
-0.02 0.29 0.0
-0.05 0.43 -0.01
0.03 0.29 0.01
-0.02 0.0 -0.02
-0.0 0.0 -0.0
-0.01 0.0 0.03
-0.01 0.0 -0.01
0.02 0.14 -0.01
-0.03 0.29 0.0
0.05 0.0 -0.01
0.03 0.0 0.0
0.04 0.0 0.01
-0.0 0.0 0.0
0.0 0.14 -0.0
-0.0 0.29 0.0
0.0 0.0 0.0
0.14 0.0 0.14
0.14 0.0 0.14
0.0 0.14 0.0
0.14 0.0 0.14
0.29 0.14 0.29
0.43 0.29 0.43
0.43 0.43 0.43
0.0 0.0 0.0
-0.0 0.14 -0.0
0.02 0.0 0.01
0.0 0.0 0.01
-0.0 0.29 0.02
0.06 0.0 0.0
0.11 0.14 -0.01
0.06 0.0 0.02
-0.03 0.0 -0.0
-0.02 0.0 -0.01
0.0 0.14 0.02
0.03 0.29 0.01
-0.0 0.0 0.01
-0.0 0.14 0.01
0.0 0.14 0.02
-0.0 0.0 0.0
-0.0 0.0 0.01
-0.0 0.0 0.01
-0.03 0.0 -0.02
-0.03 0.0 0.01
0.02 0.14 0.0
-0.06 0.29 0.02
-0.06 0.14 -0.03
0.06 0.29 -0.04
0.03 0.0 -0.0
-0.02 0.0 -0.01
-0.04 0.14 -0.01
-0.0 0.29 0.0
-0.0 0.0 0.0
0.0 0.0 -0.0
-0.0 0.0 0.0
0.0 0.0 0.0
-0.0 0.0 0.0
0.14 0.0 0.14
0.0 0.14 0.0
0.14 0.29 0.14
0.0 0.0 0.0
-0.0 0.14 -0.0
0.01 0.0 -0.0
-0.01 0.0 -0.01
0.0 0.14 0.01
0.0 0.29 -0.01
0.02 0.43 0.02
-0.02 0.57 0.03
0.0 0.0 0.0
0.0 0.14 0.0
0.14 0.0 0.14
0.29 0.14 0.29
0.01 0.0 -0.03
-0.0 0.14 0.01
-0.02 0.14 0.04
-0.0 0.0 -0.0
0.02 0.14 0.01
-0.0 0.29 0.05
-0.01 0.0 -0.02
0.0 0.0 -0.0
0.0 0.14 0.0
0.14 0.0 0.14
0.0 0.0 -0.0
-0.01 0.0 -0.04
0.0 0.14 -0.01
-0.01 0.14 0.01
-0.01 0.14 0.02
-0.04 0.29 0.01
0.1 0.43 -0.0
-0.01 0.0 0.02
0.02 0.14 -0.01
-0.01 0.29 -0.0
-0.01 0.0 -0.04
-0.01 0.43 -0.02
-0.01 0.43 -0.01
0.01 0.57 -0.0
-0.02 0.14 -0.03
-0.0 0.0 0.0
0.0 0.0 0.0
-0.0 0.0 -0.0
0.0 0.14 -0.0
0.0 0.14 -0.0
0.14 0.0 0.14
0.29 0.14 0.29
0.0 0.0 0.0
0.14 0.0 0.14
-0.0 -0.0 -0.0
0.01 0.01 -0.0
0.0 -0.03 0.01
0.01 0.04 -0.02
0.04 0.03 0.02
-0.03 -0.03 -0.02
-0.02 -0.05 -0.01
0.01 0.01 0.0
0.0 -0.03 0.01
0.0 0.01 -0.02
0.02 0.02 0.01
0.02 0.04 0.02
0.01 0.0 0.0
-0.01 0.0 -0.01
-0.02 0.0 0.0
-0.01 0.14 -0.01
0.01 0.0 0.01
-0.0 0.0 0.03
0.0 0.14 -0.0
-0.01 0.0 -0.01
-0.02 0.0 0.0
-0.0 0.14 0.01
-0.02 0.0 0.02
-0.0 0.0 -0.0
-0.0 0.0 -0.01
0.0 0.14 0.0
-0.02 0.29 -0.01
0.0 0.0 0.01
0.03 0.0 -0.02
0.02 0.14 0.04
-0.02 0.29 0.03
0.0 0.0 -0.0
0.0 0.0 -0.01
0.15 0.14 0.13
0.15 0.14 0.14
-0.01 0.0 -0.03
0.01 0.0 -0.01
0.02 0.0 0.01
0.01 0.14 0.01
0.01 0.29 -0.0
-0.01 0.29 -0.0
-0.02 0.43 -0.01
-0.01 0.0 -0.03
0.01 0.14 0.0
0.02 0.43 0.0
0.01 0.57 -0.02
0.0 0.0 0.01
0.01 0.0 0.01
-0.01 0.14 0.03
0.03 0.29 -0.0
0.01 0.0 0.01
-0.01 0.0 0.01
0.0 0.0 -0.0
0.0 0.0 0.01
-0.03 -0.01 -0.02
0.02 0.03 0.02
-0.01 -0.03 0.02
0.0 0.06 0.03
-0.01 0.04 -0.01
0.02 -0.0 -0.01
-0.01 -0.0 -0.0
-0.01 0.0 0.02
0.02 0.0 -0.01
0.02 0.0 -0.02
-0.01 0.0 0.0
0.01 0.14 0.0
-0.0 0.0 -0.01
0.0 0.0 0.0
0.01 -0.0 -0.04
-0.02 0.02 0.01
0.01 -0.0 -0.0
0.01 -0.02 -0.01
0.0 -0.03 0.0
0.0 -0.02 -0.0
0.01 -0.02 -0.03
-0.02 0.03 0.02
0.01 -0.02 0.01
-0.0 -0.0 0.0
0.0 -0.02 -0.0
0.14 0.14 0.14
0.29 0.27 0.29
0.0 0.43 -0.0
-0.0 -0.0 -0.0
0.0 -0.0 -0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.14 0.0 0.14
0.0 0.14 0.0
0.14 0.29 0.14
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.01 0.0 0.01
0.01 0.14 0.03
-0.02 0.14 -0.03
-0.0 0.0 -0.01
-0.03 0.29 -0.03
-0.0 0.0 0.02
-0.01 0.0 0.03
-0.01 0.0 -0.0
-0.01 0.0 0.01
-0.0 0.14 -0.01
0.01 0.29 -0.0
0.0 0.0 0.02
0.0 0.0 0.0
0.0 0.14 -0.0
-0.01 0.0 0.01
-0.01 -0.02 0.01
0.02 0.1 0.0
0.01 0.03 -0.01
-0.01 -0.02 0.01
-0.01 0.12 0.05
-0.01 0.0 -0.02
-0.01 0.0 -0.0
-0.0 -0.0 0.05
-0.01 0.14 -0.03
-0.03 0.0 0.0
-0.04 0.14 0.01
0.05 -0.03 0.04
-0.0 -0.05 0.01
-0.0 -0.07 0.02
0.05 -0.01 0.0
-0.07 0.06 0.01
-0.03 0.02 0.01
-0.0 -0.18 0.04
-0.04 0.07 -0.01
-0.01 -0.0 0.01
0.01 0.14 0.0
0.01 0.0 0.01
-0.0 -0.0 0.05
-0.03 -0.0 -0.02
-0.0 0.29 0.05
-0.03 0.0 0.01
0.03 0.0 -0.01
-0.0 0.14 0.04
-0.02 0.0 -0.02
-0.01 0.0 0.01
0.05 0.14 -0.02
0.05 0.0 -0.02
0.03 0.14 0.02
-0.02 0.0 0.02
-0.0 0.0 -0.02
-0.0 0.0 0.0
-0.0 0.14 0.0
0.14 0.29 0.15
0.0 0.43 -0.01
-0.0 0.0 -0.01
0.01 0.0 0.01
0.02 0.0 0.01
0.0 0.14 -0.02
0.02 0.0 0.0
0.02 -0.03 0.03
-0.02 0.09 -0.01
0.05 -0.02 -0.03
0.02 0.09 -0.03
0.04 -0.14 0.01
-0.01 -0.14 -0.01
-0.0 -0.03 0.02
-0.0 -0.02 0.05
0.0 0.11 -0.01
0.0 -0.04 0.01
-0.01 0.12 0.04
0.0 0.04 -0.01
0.0 0.1 -0.03
0.0 0.03 -0.01
-0.05 0.04 0.01
-0.0 -0.08 0.01
-0.01 0.1 0.02
0.04 0.01 0.06
-0.01 0.15 0.0
0.03 0.14 0.01
-0.01 0.29 -0.0
-0.01 0.43 -0.01
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.43 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.14 0.0 0.14
0.0 0.0 0.0
0.14 0.0 0.14
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.29 0.0
0.0 0.43 0.0
0.0 0.0 0.0
0.14 0.14 0.14
0.29 0.0 0.29
0.0 0.14 0.0
0.0 0.29 0.0
0.14 0.0 0.14
0.0 0.0 0.0
0.0 0.0 0.0
0.14 0.14 0.14
0.0 0.0 0.0
0.14 0.14 0.14
0.29 0.29 0.29
0.43 0.0 0.43
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.14 0.0
0.14 0.29 0.14
0.0 0.43 0.0
0.29 0.57 0.29
0.0 0.71 0.0
0.14 0.71 0.14
0.29 0.86 0.29
0.0 0.0 0.0
0.0 0.14 0.0
0.14 0.29 0.14
0.14 0.43 0.14
0.0 0.43 0.0
0.0 0.43 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.29 0.0
0.0 0.43 0.0
0.0 0.0 0.0
0.14 0.57 0.14
0.0 0.71 0.0
0.14 0.0 0.14
0.0 0.0 0.0
0.14 0.0 0.14
0.0 0.14 0.0
0.0 0.0 0.0
0.14 0.14 0.14
0.0 0.29 0.0
0.0 0.14 0.0
0.14 0.0 0.14
0.29 0.0 0.29
0.14 0.14 0.14
0.0 0.29 0.0
0.0 0.43 0.0
0.14 0.57 0.14
0.29 0.71 0.29
0.0 0.86 0.0
0.43 1.0 0.43
0.14 1.0 0.14
